trip_id,arrival_time,departure_time,stop_id,stop_sequence
000001,07:06:00,07:06:00,1,1
000001,07:09:00,07:09:00,2,2
000001,07:12:00,07:12:00,3,3
000001,07:15:00,07:15:00,4,4
000001,07:18:00,07:18:00,5,5
000002,07:00:00,07:00:00,1,1
000002,07:06:00,07:06:00,7,2
000002,07:11:00,07:11:00,3,3
000002,07:20:00,07:20:00,8,4
000002,07:30:00,07:30:00,10,5
000003,07:03:00,07:03:00,1,1
000003,07:06:00,07:06:00,2,2
000003,07:09:00,07:09:00,3,3
000003,07:15:00,07:15:00,8,4
000003,07:25:00,07:25:00,10,5
000004,07:03:00,07:03:00,6,1
000004,07:06:00,07:06:00,3,2
000004,07:09:00,07:09:00,4,3
000004,07:15:00,07:15:00,5,4
000005,07:03:00,07:03:00,8,1
000005,07:06:00,07:06:00,4,2
000005,07:09:00,07:09:00,9,3
000005,07:15:00,07:15:00,11,4
000006,07:10:00,07:10:00,1,1
000006,07:16:00,07:16:00,7,2
000006,07:22:00,07:22:00,9,3
000006,07:28:00,07:28:00,11,4
