route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
1,10,829863,"Decatur-Drummond",1003,0,270920
1,10,829864,"Parx Casino",2151,0,270918
1,10,829865,"Parx Casino via Decatur-Drummond",2156,0,270925
1,10,829866,"Decatur-Drummond",1426,0,270924
1,10,829867,"Parx Casino via Decatur-Drummond",2154,0,270925
1,10,829868,"Decatur-Drummond",1002,0,270921
1,10,829869,"Byberry Industrial Park",2153,0,270922
1,10,829870,"Decatur-Drummond",2155,0,270919
1,10,829871,"Decatur-Drummond",1001,0,270920
1,10,829872,"Decatur-Drummond",2783,0,270924
1,10,829873,"Decatur-Drummond",1455,0,270919
1,10,829874,"Decatur-Drummond",2151,0,270919
1,10,829875,"Decatur-Drummond",2157,0,270924
1,10,829876,"Roosevelt-Pratt",1008,0,270923
1,10,829877,"Parx Casino",2158,0,270918
1,10,829878,"Parx Casino",2159,0,270918
1,10,829879,"Parx Casino",1004,0,270918
1,10,829880,"Parx Casino",2160,0,270918
1,10,829881,"Parx Casino",1005,0,270918
1,10,829882,"Parx Casino via Decatur-Drummond",1003,0,270925
1,10,829883,"Parx Casino via Decatur-Drummond",1001,0,270925
1,10,829884,"Parx Casino via Decatur-Drummond",2151,0,270925
1,10,829885,"Parx Casino",1003,0,270918
1,10,829886,"Parx Casino",1004,0,270918
1,10,829887,"Byberry Industrial Park",2783,0,270922
1,10,829888,"Parx Casino via Decatur-Drummond",2152,0,270925
1,10,829889,"Byberry Industrial Park",2156,0,270922
1,10,829890,"54th-City via Drummond-Decatur",1484,1,270927
1,10,829891,"54th-City",2161,1,270926
1,10,829893,"54th-City",2158,1,270930
1,10,829894,"54th-City",1004,1,270931
1,10,829895,"54th-City",1005,1,270931
1,10,829896,"54th-City via Drummond-Decatur",1003,1,270927
1,10,829897,"54th-City via Drummond-Decatur",2151,1,270927
1,10,829898,"54th-City",2152,1,270931
1,10,829899,"54th-City",2156,1,270930
1,10,829900,"54th-City",2154,1,270931
1,10,829901,"54th-City",2155,1,270930
1,10,829902,"54th-City",1001,1,270930
1,10,829903,"Wissahickon Transportation Center",2783,1,270933
1,10,829904,"54th-City",2151,1,270930
1,10,829905,"54th-City",2152,1,270930
1,10,829906,"54th-City via Drummond-Decatur",2160,1,270927
1,10,829907,"Wissahickon Transportation Center",1230,1,270929
1,10,829908,"Wissahickon Transportation Center",2559,1,270929
1,10,829909,"Wissahickon Transportation Center",2157,1,270933
1,10,829910,"54th-City",1004,1,270931
1,10,829911,"54th-City",1515,1,270930
1,10,829912,"54th-City",1006,1,270926
1,10,829913,"54th-City",1003,1,270930
1,10,829914,"54th-City via Drummond-Decatur",2157,1,270927
1,10,829915,"Wissahickon Transportation Center",1521,1,270928
1,10,829919,"54th-City",1008,1,270926
12,10,829997,"Columbus-Dock",7254,0,270934
12,10,829998,"Columbus-Dock",7255,0,270934
12,10,829999,"Columbus-Dock",7256,0,270934
12,10,830000,"Columbus-Dock",7253,0,270934
12,10,830001,"Columbus-Dock",7257,0,270934
12,10,830002,"Columbus-Dock",7251,0,270934
12,10,830003,"Columbus-Dock",7255,0,270934
12,10,830004,"Columbus-Dock",7256,0,270934
12,10,830005,"Columbus-Dock",7258,0,270934
12,10,830006,"Columbus-Dock",7257,0,270934
12,10,830007,"Columbus-Dock",7251,0,270934
12,10,830008,"Columbus-Dock",7256,0,270934
12,10,830009,"Columbus-Dock",7258,0,270934
12,10,830010,"Columbus-Dock",7257,0,270934
12,10,830011,"Columbus-Dock",7259,0,270934
12,10,830012,"Columbus-Dock",7262,0,270934
12,10,830013,"Columbus-Dock",7261,0,270934
12,10,830014,"Columbus-Dock",7257,0,270934
12,10,830015,"Columbus-Dock",7260,0,270934
12,10,830016,"Columbus-Dock",7263,0,270934
12,10,830017,"Columbus-Dock",7258,0,270934
12,10,830018,"Columbus-Dock",7259,0,270934
12,10,830019,"Columbus-Dock",7261,0,270934
12,10,830020,"Columbus-Dock",7257,0,270934
12,10,830021,"Columbus-Dock",7260,0,270934
12,10,830022,"Columbus-Dock",7262,0,270934
12,10,830023,"Columbus-Dock",7263,0,270934
12,10,830024,"Columbus-Dock",7262,0,270934
12,10,830025,"Columbus-Dock",7254,0,270934
12,10,830026,"Columbus-Dock",7251,0,270934
12,10,830027,"Columbus-Dock",7262,0,270934
12,10,830028,"Columbus-Dock",7253,0,270934
12,10,830029,"Columbus-Dock",7261,0,270934
12,10,830030,"Columbus-Dock",7263,0,270934
12,10,830031,"Columbus-Dock",7261,0,270934
12,10,830032,"Columbus-Dock",7263,0,270934
12,10,830033,"Columbus-Dock",7262,0,270934
12,10,830034,"Columbus-Dock",7261,0,270934
12,10,830035,"Columbus-Dock",7263,0,270934
12,10,830036,"Columbus-Dock",7262,0,270934
12,10,830037,"Columbus-Dock",7263,0,270934
12,10,830038,"Columbus-Dock",7251,0,270934
12,10,830039,"Columbus-Dock",7252,0,270934
12,10,830040,"Columbus-Dock",7253,0,270934
12,10,830041,"Columbus-Dock",7254,0,270934
12,10,830042,"Columbus-Dock",7251,0,270934
12,10,830043,"Columbus-Dock",7255,0,270934
12,10,830044,"Columbus-Dock",7252,0,270934
12,10,830045,"Columbus-Dock",7256,0,270934
12,10,830046,"Columbus-Dock",7253,0,270934
12,10,830047,"Columbus-Dock",7254,0,270934
12,10,830048,"Columbus-Dock",7251,0,270934
12,10,830049,"Columbus-Dock",7255,0,270934
12,10,830050,"Columbus-Dock",7256,0,270934
12,10,830051,"Columbus-Dock",7252,0,270934
12,10,830052,"Columbus-Dock",7259,0,270934
12,10,830053,"Columbus-Dock",7255,0,270934
12,10,830054,"Columbus-Dock",7260,0,270934
12,10,830055,"Columbus-Dock",7252,0,270934
12,10,830056,"Columbus-Dock",7256,0,270934
12,10,830057,"Columbus-Dock",7253,0,270934
12,10,830058,"50th-Woodland",7256,1,270935
12,10,830059,"50th-Woodland",7253,1,270935
12,10,830060,"50th-Woodland",7262,1,270935
12,10,830061,"50th-Woodland",7261,1,270935
12,10,830062,"50th-Woodland",7259,1,270935
12,10,830063,"50th-Woodland",7257,1,270935
12,10,830064,"50th-Woodland",7260,1,270935
12,10,830065,"50th-Woodland",7256,1,270935
12,10,830066,"50th-Woodland",7258,1,270935
12,10,830067,"50th-Woodland",7259,1,270935
12,10,830068,"50th-Woodland",7261,1,270935
12,10,830069,"50th-Woodland",7263,1,270935
12,10,830070,"50th-Woodland",7253,1,270935
12,10,830071,"50th-Woodland",7254,1,270935
12,10,830072,"50th-Woodland",7251,1,270935
12,10,830073,"50th-Woodland",7252,1,270935
12,10,830074,"50th-Woodland",7255,1,270935
12,10,830075,"50th-Woodland",7252,1,270935
12,10,830076,"50th-Woodland",7256,1,270935
12,10,830077,"50th-Woodland",7253,1,270935
12,10,830078,"50th-Woodland",7254,1,270935
12,10,830079,"50th-Woodland",7251,1,270935
12,10,830080,"50th-Woodland",7255,1,270935
12,10,830081,"50th-Woodland",7256,1,270935
12,10,830082,"50th-Woodland",7254,1,270935
12,10,830083,"50th-Woodland",7253,1,270935
12,10,830084,"50th-Woodland",7257,1,270935
12,10,830085,"50th-Woodland",7257,1,270935
12,10,830086,"50th-Woodland",7262,1,270935
12,10,830087,"50th-Woodland",7263,1,270935
12,10,830088,"50th-Woodland",7262,1,270935
12,10,830089,"50th-Woodland",7263,1,270935
12,10,830090,"50th-Woodland",7262,1,270935
12,10,830091,"50th-Woodland",7256,1,270935
12,10,830092,"50th-Woodland",7263,1,270935
12,10,830093,"50th-Woodland",7251,1,270935
12,10,830094,"50th-Woodland",7255,1,270935
12,10,830095,"50th-Woodland",7258,1,270935
12,10,830096,"50th-Woodland",7257,1,270935
12,10,830097,"50th-Woodland",7262,1,270935
12,10,830098,"50th-Woodland",7260,1,270935
12,10,830099,"50th-Woodland",7261,1,270935
12,10,830100,"50th-Woodland",7258,1,270935
12,10,830101,"50th-Woodland",7263,1,270935
12,10,830102,"50th-Woodland",7257,1,270935
12,10,830103,"50th-Woodland",7259,1,270935
12,10,830104,"50th-Woodland",7262,1,270935
12,10,830105,"50th-Woodland",7260,1,270935
12,10,830106,"50th-Woodland",7261,1,270935
12,10,830107,"50th-Woodland",7263,1,270935
12,10,830108,"50th-Woodland",7251,1,270935
12,10,830109,"50th-Woodland",7255,1,270935
12,10,830110,"50th-Woodland",7261,1,270935
12,10,830111,"50th-Woodland",7251,1,270935
12,10,830112,"50th-Woodland",7252,1,270935
12,10,830113,"50th-Woodland",7256,1,270935
12,10,830114,"50th-Woodland",7253,1,270935
12,10,830115,"50th-Woodland",7254,1,270935
12,10,830116,"50th-Woodland",7251,1,270935
12,10,830117,"50th-Woodland",7255,1,270935
12,10,830118,"50th-Woodland",7252,1,270935
14,10,830388,"Neshaminy Mall",1063,0,270950
14,10,830390,"Neshaminy Mall",1057,0,270950
14,10,830393,"Neshaminy Mall",1058,0,270938
14,10,830394,"Caroline-Comly",1053,0,270946
14,10,830395,"Neshaminy Mall",1152,0,270938
14,10,830397,"Byberry Industrial Park",1059,0,270948
14,10,830399,"Byberry Industrial Park",1153,0,270948
14,10,830400,"Roosevelt-Byberry",1051,0,270947
14,10,830401,"Street Rd Industrial Park",1055,0,270949
14,10,830403,"Byberry Industrial Park",1056,0,270948
14,10,830404,"Neshaminy Mall",1053,0,270938
14,10,830405,"Neshaminy Mall",1063,0,270950
14,10,830406,"Street Rd Industrial Park",1054,0,270949
14,10,830409,"Neshaminy Mall",1058,0,270950
14,10,830410,"Street Rd Industrial Park",1151,0,270949
14,10,830411,"Neshaminy Mall",1051,0,270938
14,10,830413,"Byberry Industrial Park",1052,0,270948
14,10,830415,"Street Rd Industrial Park",1058,0,270949
14,10,830416,"Neshaminy Mall",1055,0,270938
14,10,830417,"Neshaminy Mall",1065,0,270950
14,10,830418,"Neshaminy Mall",1055,0,270950
14,10,830420,"Neshaminy Mall",1069,0,270950
14,10,830422,"Neshaminy Mall",1071,0,270950
14,10,830424,"Neshaminy Mall",1072,0,270950
14,10,830426,"Roosevelt-Byberry",1073,0,270947
14,10,830427,"Byberry Industrial Park",1058,0,270948
14,10,830429,"Byberry Industrial Park",1065,0,270948
14,10,830430,"Roosevelt-Byberry",1067,0,270947
14,10,830432,"Byberry Industrial Park",1068,0,270948
14,10,830434,"Roosevelt-Byberry",1073,0,270947
14,10,830435,"Byberry Industrial Park",1072,0,270948
14,10,830436,"Street Rd Industrial Park",1079,0,270949
14,10,830440,"Byberry Industrial Park",1063,0,270948
14,10,830441,"Red Lion-Norcom",1076,0,270943
14,10,830442,"Street Rd Industrial Park",1067,0,270949
14,10,830444,"Neshaminy Mall",1073,0,270950
14,10,830446,"Neshaminy Mall",1079,0,270950
14,10,830448,"Neshaminy Mall",1078,0,270950
14,10,830450,"Neshaminy Mall",1080,0,270938
14,10,830452,"Neshaminy Mall",1079,0,270938
14,10,830454,"Byberry Industrial Park",1071,0,270948
14,10,830455,"Neshaminy Mall",1078,0,270938
14,10,830457,"Neshaminy Mall",1079,0,270938
14,10,830458,"Neshaminy Mall",1078,0,270938
14,10,830459,"Neshaminy Mall",1081,0,270950
14,10,830460,"Neshaminy Mall",1082,0,270938
14,10,830461,"Neshaminy Mall",1080,0,270938
14,10,830462,"Neshaminy Mall",1081,0,270937
14,10,830463,"Neshaminy Mall",1078,0,270938
14,10,830464,"Neshaminy Mall",1051,0,270937
14,10,830465,"Neshaminy Mall",1052,0,270938
14,10,830466,"Oxford Valley Mall via Neshaminy Mall",1051,0,270939
14,10,830467,"Oxford Valley Mall via Neshaminy Mall",1052,0,270939
14,10,830468,"Neshaminy Mall",1151,0,270938
14,10,830470,"Byberry Industrial Park",1153,0,270948
14,10,830471,"Byberry Industrial Park",1152,0,270948
14,10,830472,"Neshaminy Mall",1057,0,270950
14,10,830473,"Neshaminy Mall",1052,0,270938
14,10,830474,"Neshaminy Mall",1080,0,270938
14,10,830475,"Neshaminy Mall",1053,0,270938
14,10,830476,"Oxford Valley Mall via Neshaminy Mall",1054,0,270939
14,10,830477,"Oxford Valley Mall via Neshaminy Mall",1060,0,270939
14,10,830478,"Oxford Valley Mall via Neshaminy Mall",1057,0,270939
14,10,830479,"Oxford Valley Mall via Neshaminy Mall",1059,0,270939
14,10,830480,"Oxford Valley Mall via Neshaminy Mall",1054,0,270939
14,10,830481,"Oxford Valley Mall via Neshaminy Mall",1056,0,270939
14,10,830482,"Oxford Valley Mall via Neshaminy Mall",1073,0,270939
14,10,830483,"Oxford Valley Mall via Neshaminy Mall",1082,0,270939
14,10,830484,"Oxford Valley Mall via Neshaminy Mall",1081,0,270939
14,10,830485,"Oxford Valley Mall via Neshaminy Mall",1058,0,270952
14,10,830486,"Oxford Valley Mall via Neshaminy Mall",1064,0,270952
14,10,830487,"Oxford Valley Mall via Neshaminy Mall",1059,0,270952
14,10,830488,"Oxford Valley Mall via Neshaminy Mall",1066,0,270952
14,10,830489,"Oxford Valley Mall via Neshaminy Mall",1067,0,270952
14,10,830490,"Oxford Valley Mall via Neshaminy Mall",1065,0,270952
14,10,830491,"Oxford Valley Mall via Neshaminy Mall",1068,0,270952
14,10,830492,"Oxford Valley Mall via Neshaminy Mall",1070,0,270952
14,10,830493,"Oxford Valley Mall via Neshaminy Mall",1063,0,270952
14,10,830494,"Oxford Valley Mall via Neshaminy Mall",1076,0,270952
14,10,830495,"Oxford Valley Mall via Neshaminy Mall",1077,0,270952
14,10,830496,"Oxford Valley Mall via Neshaminy Mall",1069,0,270952
14,10,830497,"Oxford Valley Mall via Neshaminy Mall",1071,0,270952
14,10,830498,"Oxford Valley Mall via Neshaminy Mall",1078,0,270952
14,10,830499,"Oxford Valley Mall via Neshaminy Mall",1080,0,270952
14,10,830500,"Oxford Valley Mall via Neshaminy Mall",1065,0,270952
14,10,830501,"Oxford Valley Mall via Neshaminy Mall",1082,0,270952
14,10,830502,"Oxford Valley Mall via Neshaminy Mall",1071,0,270952
14,10,830503,"Oxford Valley Mall via Neshaminy Mall",1081,0,270952
14,10,830506,"Frankford Transportation Center",1051,1,270956
14,10,830508,"Frankford Transportation Center",1081,1,270967
14,10,830509,"Frankford Transportation Center",1067,1,270966
14,10,830512,"Frankford Transportation Center",1078,1,270956
14,10,830513,"Frankford Transportation Center",1051,1,270956
14,10,830514,"Frankford Transportation Center",1052,1,270956
14,10,830515,"Frankford Transportation Center",1054,1,270969
14,10,830516,"Frankford Transportation Center",1055,1,270961
14,10,830517,"Frankford Transportation Center",1053,1,270956
14,10,830518,"Frankford Transportation Center",1051,1,270954
14,10,830519,"Frankford Transportation Center",1055,1,270961
14,10,830520,"Frankford Transportation Center",1151,1,270956
14,10,830521,"Frankford Transportation Center",1055,1,270967
14,10,830523,"Frankford Transportation Center",1063,1,270967
14,10,830524,"Frankford Transportation Center",1054,1,270966
